Získané dáta po spustení programu saveData.py.

Time(ms), PixelValue
5750.00, [ 50  84 111]
5766.67, [ 50  84 111]
5783.33, [ 51  85 112]
5800.00, [ 51  85 112]
5816.67, [ 51  85 112]
5833.33, [ 51  85 112]
5850.00, [ 51  85 112]
5866.67, [ 50  84 111]
5883.33, [ 51  85 112]
5900.00, [ 51  85 112]
5916.67, [ 51  85 112]
5933.33, [ 51  85 112]
5950.00, [ 51  85 112]
5966.67, [ 51  85 112]
5983.33, [ 51  85 112]
6000.00, [ 51  85 112]
6016.67, [ 51  85 112]
6033.33, [ 51  85 112]
6050.00, [ 51  85 112]
6066.67, [ 51  85 112]
6083.33, [ 51  85 112]
6100.00, [ 51  85 112]
6116.67, [ 51  85 112]
6133.33, [ 51  85 112]
6150.00, [ 51  85 112]
6166.67, [ 51  85 112]
6183.33, [ 51  85 112]
6200.00, [ 51  85 112]
6216.67, [ 51  85 112]
6233.33, [ 51  85 112]
6250.00, [ 50  84 111]
6266.67, [ 50  84 111]
6283.33, [ 50  84 111]
6300.00, [ 50  84 111]
6316.67, [ 50  84 111]
6333.33, [ 50  84 111]
6350.00, [ 50  84 111]
6366.67, [ 51  85 112]
6383.33, [ 51  85 112]
6400.00, [ 51  85 112]
6416.67, [ 51  85 112]
6433.33, [ 51  85 112]
6450.00, [ 51  85 112]
6466.67, [ 51  85 112]
6483.33, [ 50  84 111]
6500.00, [ 50  84 111]
6516.67, [ 50  84 111]
6533.33, [ 50  84 111]
6550.00, [ 50  84 111]
6566.67, [ 50  84 111]
6583.33, [ 50  84 111]
6600.00, [ 51  85 112]
6616.67, [ 51  85 112]
6633.33, [ 51  85 112]
6650.00, [ 51  85 112]
6666.67, [ 51  85 112]
6683.33, [ 51  85 112]
6700.00, [ 50  84 111]
6716.67, [ 50  84 111]
6733.33, [ 50  84 111]
6750.00, [ 51  85 112]
6766.67, [ 51  85 112]
6783.33, [ 51  85 112]
6800.00, [ 51  85 112]
6816.67, [ 51  85 112]
6833.33, [ 51  85 112]
6850.00, [ 51  85 112]
6866.67, [ 51  85 112]
6883.33, [ 51  85 112]
6900.00, [ 51  85 112]
6916.67, [ 51  85 112]
6933.33, [ 51  85 112]
6950.00, [ 51  85 112]
6966.67, [ 51  85 112]
6983.33, [ 51  85 112]
7000.00, [ 51  85 112]
7016.67, [ 52  86 113]
7033.33, [ 52  86 113]
7050.00, [ 52  86 113]
7066.67, [ 52  86 113]
7083.33, [ 51  85 112]
7100.00, [ 51  85 112]
7116.67, [ 51  85 112]
7133.33, [ 51  85 112]
7150.00, [ 51  85 112]
7166.67, [ 51  85 112]
7183.33, [ 51  85 112]
7200.00, [ 51  85 112]
7216.67, [ 51  85 112]
7233.33, [ 51  85 112]
7250.00, [ 51  85 112]
7266.67, [ 51  85 112]
7283.33, [ 51  85 112]
7300.00, [ 51  85 112]
7316.67, [ 51  85 112]
7333.33, [ 51  85 112]
7350.00, [ 51  85 112]
7366.67, [ 51  85 112]
7383.33, [ 51  85 112]
7400.00, [ 51  85 112]
7416.67, [ 51  85 112]
7433.33, [ 51  85 112]
7450.00, [ 51  85 112]
7466.67, [ 51  85 112]
7483.33, [ 51  85 112]
7500.00, [ 51  85 112]
7516.67, [ 51  85 112]
7533.33, [ 51  85 112]
7550.00, [ 51  85 112]
7566.67, [ 51  85 112]
7583.33, [ 50  84 111]
7600.00, [ 50  84 111]
7616.67, [ 51  85 112]
7633.33, [ 52  86 113]
7650.00, [ 52  86 113]
7666.67, [ 54  88 115]
7683.33, [ 54  88 115]
7700.00, [ 54  88 115]
7716.67, [ 55  90 114]
7733.33, [ 55  90 114]
7750.00, [ 55  90 114]
7766.67, [ 55  90 114]
7783.33, [ 53  90 114]
7800.00, [ 54  89 118]
7816.67, [ 54  89 118]
7833.33, [ 54  89 118]
7850.00, [ 54  89 118]
7866.67, [ 54  89 118]
7883.33, [ 54  89 118]
7900.00, [ 54  89 118]
7916.67, [ 54  89 118]
7933.33, [ 54  89 118]
7950.00, [ 54  89 118]
7966.67, [ 54  90 117]
7983.33, [ 56  90 117]
8000.00, [ 53  90 114]
8016.67, [ 53  90 114]
8033.33, [ 53  90 114]
8050.00, [ 56  90 117]
8066.67, [ 56  90 117]
8083.33, [ 56  90 117]
8100.00, [ 56  90 117]
8116.67, [ 56  90 117]
8133.33, [ 56  90 117]
8150.00, [ 56  90 117]
8166.67, [ 55  89 116]
8183.33, [ 55  89 116]
8200.00, [ 56  90 117]
8216.67, [ 56  90 117]
8233.33, [ 56  90 117]
8250.00, [ 56  90 117]
8266.67, [ 56  90 117]
8283.33, [ 56  90 117]
8300.00, [ 56  90 117]
8316.67, [ 56  90 117]
8333.33, [ 56  90 117]
8350.00, [ 56  90 117]
8366.67, [ 56  90 117]
8383.33, [ 56  90 117]
8400.00, [ 54  89 118]
8416.67, [ 54  89 118]
8433.33, [ 54  89 118]
8450.00, [ 54  89 118]
8466.67, [ 56  90 117]
8483.33, [ 56  90 117]
8500.00, [ 56  90 117]
8516.67, [ 56  90 117]
8533.33, [ 56  90 117]
8550.00, [ 56  90 117]
8566.67, [ 56  90 117]
8583.33, [ 56  90 117]
8600.00, [ 56  90 117]
8616.67, [ 56  90 117]
8633.33, [ 56  90 117]
8650.00, [ 56  90 117]
8666.67, [ 56  90 117]
8683.33, [ 56  90 117]
8700.00, [ 56  90 117]
8716.67, [ 56  90 117]
8733.33, [ 55  89 116]
8750.00, [ 55  89 116]
8766.67, [ 56  90 117]
8783.33, [ 56  90 117]
8800.00, [ 54  86 113]
8816.67, [ 54  86 113]
8833.33, [ 54  86 113]
8850.00, [ 53  85 112]
8866.67, [ 53  85 112]
8883.33, [ 53  85 112]
8900.00, [ 53  85 112]
8916.67, [ 53  85 112]
8933.33, [ 53  85 112]
8950.00, [ 53  85 112]
8966.67, [ 53  85 112]
8983.33, [ 53  85 112]
9000.00, [ 50  84 111]
9016.67, [ 50  84 111]
9033.33, [ 50  84 111]
9050.00, [ 50  84 111]
9066.67, [ 50  84 111]
9083.33, [ 51  85 112]
9100.00, [ 51  85 112]
9116.67, [ 51  85 112]
9133.33, [ 51  85 112]
9150.00, [ 51  85 112]
9166.67, [ 51  85 112]
9183.33, [ 51  85 112]
9200.00, [ 50  84 111]
9216.67, [ 50  84 111]
9233.33, [ 51  85 112]
9250.00, [ 51  85 112]
9266.67, [ 51  85 112]
9283.33, [ 50  84 111]
9300.00, [ 51  85 112]
9316.67, [ 51  85 112]
9333.33, [ 51  85 112]
9350.00, [ 51  85 112]
9366.67, [ 51  85 112]
9383.33, [ 51  85 112]
9400.00, [ 50  84 111]
9416.67, [ 51  85 112]
9433.33, [ 51  85 112]
9450.00, [ 52  86 113]
9466.67, [ 53  89 116]
9483.33, [ 53  89 116]
9500.00, [ 54  90 117]
9516.67, [ 54  90 117]
9533.33, [ 54  89 118]
9550.00, [ 54  89 118]
9566.67, [ 54  89 118]
9583.33, [ 54  89 118]
9600.00, [ 54  89 118]
9616.67, [ 54  89 118]
9633.33, [ 54  89 118]
9650.00, [ 54  89 118]
9666.67, [ 54  89 118]
9683.33, [ 54  89 118]
9700.00, [ 54  89 118]
9716.67, [ 54  89 118]
9733.33, [ 54  89 118]
9750.00, [ 54  89 118]
9766.67, [ 54  89 118]
9783.33, [ 54  89 118]
9800.00, [ 54  89 118]
9816.67, [ 54  89 118]
9833.33, [ 54  89 118]
9850.00, [ 54  89 118]
9866.67, [ 54  89 118]
9883.33, [ 54  89 118]
9900.00, [ 54  89 118]
9916.67, [ 54  89 118]
9933.33, [ 54  89 118]
9950.00, [ 54  89 118]
9966.67, [ 54  89 118]
9983.33, [ 54  89 118]
10000.00, [ 54  90 117]
10016.67, [ 54  90 117]
10033.33, [ 54  90 117]
10050.00, [ 52  86 113]
10066.67, [ 51  85 112]
10083.33, [ 51  85 112]
10100.00, [ 50  84 111]
10116.67, [ 50  84 111]
10133.33, [ 50  84 111]
10150.00, [ 50  84 111]
10166.67, [ 51  85 112]
10183.33, [ 51  85 112]
10200.00, [ 51  85 112]
10216.67, [ 51  85 112]
10233.33, [ 51  85 112]
10250.00, [ 51  85 112]
10266.67, [ 51  85 112]
10283.33, [ 51  85 112]
10300.00, [ 51  85 112]
10316.67, [ 51  85 112]
10333.33, [ 51  85 112]
10350.00, [ 50  84 111]
10366.67, [ 50  84 111]
10383.33, [ 50  84 111]
10400.00, [ 51  85 112]
10416.67, [ 51  85 112]
10433.33, [ 51  85 112]
10450.00, [ 51  85 112]
10466.67, [ 51  85 112]
10483.33, [ 51  85 112]
10500.00, [ 51  85 112]
10516.67, [ 51  85 112]
10533.33, [ 51  85 112]
10550.00, [ 51  85 112]
10566.67, [ 51  85 112]
10583.33, [ 51  85 112]
10600.00, [ 51  85 112]
10616.67, [ 51  85 112]
10633.33, [ 51  85 112]
10650.00, [ 51  85 112]
10666.67, [ 51  85 112]
10683.33, [ 53  89 116]
10700.00, [ 53  89 116]
10716.67, [ 54  88 115]
10733.33, [ 54  89 118]
10750.00, [ 54  89 118]
10766.67, [ 54  89 118]
10783.33, [ 54  89 118]
10800.00, [ 56  90 117]
10816.67, [ 54  90 117]
10833.33, [ 54  90 117]
10850.00, [ 53  89 116]
10866.67, [ 54  88 120]
10883.33, [ 54  90 117]
10900.00, [ 54  89 118]
10916.67, [ 54  89 118]
10933.33, [ 54  90 117]
10950.00, [ 54  90 117]
10966.67, [ 54  90 117]
10983.33, [ 54  90 117]
11000.00, [ 54  89 118]
11016.67, [ 54  89 118]
11033.33, [ 54  89 118]
11050.00, [ 54  89 118]
11066.67, [ 54  89 118]
11083.33, [ 54  89 118]
11100.00, [ 54  89 118]
11116.67, [ 54  89 118]
11133.33, [ 54  89 118]
11150.00, [ 54  89 118]
11166.67, [ 54  88 120]
11183.33, [ 54  88 120]
11200.00, [ 54  89 118]
11216.67, [ 54  89 118]
11233.33, [ 54  89 118]
11250.00, [ 54  89 118]
11266.67, [ 54  88 120]
11283.33, [ 54  88 120]
11300.00, [ 54  88 120]
11316.67, [ 54  88 120]
11333.33, [ 54  88 120]
11350.00, [ 54  88 120]
11366.67, [ 54  88 120]
11383.33, [ 54  88 120]
11400.00, [ 54  89 118]
11416.67, [ 54  89 118]
11433.33, [ 54  89 118]
11450.00, [ 54  89 118]
11466.67, [ 54  89 118]
11483.33, [ 54  89 118]
11500.00, [ 54  89 118]
11516.67, [ 54  89 118]
11533.33, [ 54  89 118]
11550.00, [ 54  89 118]
11566.67, [ 54  89 118]
11583.33, [ 54  89 118]
11600.00, [ 54  89 118]
11616.67, [ 54  89 118]
11633.33, [ 54  89 118]
11650.00, [ 54  89 118]
11666.67, [ 54  89 118]
11683.33, [ 54  89 118]
11700.00, [ 54  89 118]
11716.67, [ 54  89 118]
11733.33, [ 54  89 118]
11750.00, [ 54  89 118]
11766.67, [ 54  89 118]
11783.33, [ 54  89 118]
11800.00, [ 56  90 117]
11816.67, [ 56  90 117]
11833.33, [ 54  86 113]
11850.00, [ 54  86 113]
11866.67, [ 52  86 113]
11883.33, [ 53  85 112]
11900.00, [ 53  85 112]
11916.67, [ 53  85 112]
11933.33, [ 53  85 112]
11950.00, [ 53  85 112]
11966.67, [ 51  85 112]
11983.33, [ 53  84 113]
12000.00, [ 51  85 112]
12016.67, [ 51  85 112]
12033.33, [ 51  85 112]
12050.00, [ 51  85 112]
12066.67, [ 51  85 112]
12083.33, [ 50  84 111]
12100.00, [ 50  84 111]
12116.67, [ 50  84 111]
12133.33, [ 50  84 111]
12150.00, [ 50  84 111]
12166.67, [ 51  85 112]
12183.33, [ 51  85 112]
12200.00, [ 51  85 112]
12216.67, [ 51  85 112]
12233.33, [ 51  85 112]
12250.00, [ 51  85 112]
12266.67, [ 51  85 112]
12283.33, [ 51  85 112]
12300.00, [ 52  86 113]
12316.67, [ 51  85 112]
12333.33, [ 51  85 112]
12350.00, [ 51  85 112]
12366.67, [ 51  85 112]
12383.33, [ 51  85 112]
12400.00, [ 50  84 111]
12416.67, [ 50  84 111]
12433.33, [ 50  84 111]
12450.00, [ 51  85 112]
12466.67, [ 51  85 112]
12483.33, [ 51  85 112]
12500.00, [ 52  86 113]
12516.67, [ 52  86 113]
12533.33, [ 53  85 112]
12550.00, [ 53  85 112]
12566.67, [ 53  85 112]
12583.33, [ 53  85 112]
12600.00, [ 53  85 112]
12616.67, [ 53  85 112]
12633.33, [ 53  85 112]
12650.00, [ 53  85 112]
12666.67, [ 53  85 112]
12683.33, [ 53  85 112]
12700.00, [ 53  85 112]
12716.67, [ 53  85 112]
12733.33, [ 53  85 112]
12750.00, [ 53  85 112]
12766.67, [ 53  85 112]
12783.33, [ 53  85 112]
12800.00, [ 51  85 112]
12816.67, [ 50  84 111]
12833.33, [ 50  84 111]
12850.00, [ 50  84 111]
12866.67, [ 50  84 111]
12883.33, [ 50  84 111]
12900.00, [ 50  84 111]
12916.67, [ 50  84 111]
12933.33, [ 50  84 111]
12950.00, [ 50  84 111]
12966.67, [ 50  84 111]
12983.33, [ 51  83 110]
